ID,Quality
sbs2data_2018_09_05_12_52_07_222,9
sbs2data_2018_09_05_13_22_06_398,9
sbs2data_2018_09_05_13_42_22_394,6
sbs2data_2018_09_05_13_48_42_200,6
sbs2data_2018_09_05_13_55_54_399,9
sbs2data_2018_09_05_14_13_36_400,6
sbs2data_2018_09_05_14_31_44_202,5
sbs2data_2018_09_05_14_42_29_210,8
sbs2data_2018_09_05_14_48_03_191,9
sbs2data_2018_09_05_15_01_13_401,8
sbs2data_2018_09_05_15_13_08_11,2
sbs2data_2018_09_05_15_20_03_403,6
sbs2data_2018_09_05_15_40_56_402,8
sbs2data_2018_09_05_15_50_00_404,6
sbs2data_2018_09_05_15_56_28_198,5**
sbs2data_2018_09_05_16_39_31_209,8
sbs2data_2018_09_05_16_50_11_224,4
sbs2data_2018_09_06_08_16_49_221,6
sbs2data_2018_09_06_08_19_10_257,6
sbs2data_2018_09_06_09_06_37_405,4
sbs2data_2018_09_06_09_09_41_242,9
sbs2data_2018_09_06_09_54_34_410,7
sbs2data_2018_09_06_10_12_44_70,6
sbs2data_2018_09_06_10_16_58_406,5
sbs2data_2018_09_06_10_55_39_237,7
sbs2data_2018_09_06_11_21_04_236,7
sbs2data_2018_09_06_11_21_41_412,8
sbs2data_2018_09_06_11_27_41_261,9
sbs2data_2018_09_06_11_57_57_419,7
sbs2data_2018_09_06_12_29_17_418,2
sbs2data_2018_09_06_12_32_08_413,7
sbs2data_2018_09_06_12_39_03_251,8
sbs2data_2018_09_06_13_22_41_416,7
sbs2data_2018_09_06_13_37_08_417,7
sbs2data_2018_09_06_13_41_21_244,8.5**
sbs2data_2018_09_06_13_50_15_241,9
sbs2data_2018_09_06_14_26_58_238,9
sbs2data_2018_09_06_14_50_08_229,7
sbs2data_2018_09_06_14_54_12_228,2
sbs2data_2018_09_06_15_34_13_246,8
sbs2data_2018_09_06_15_52_45_43,5
sbs2data_2018_09_06_15_57_44_422,7
sbs2data_2018_09_06_16_45_42_425,2
sbs2data_2018_09_07_08_37_34_427,7
sbs2data_2018_09_07_09_44_49_433,7
sbs2data_2018_09_07_09_57_13_428,7
sbs2data_2018_09_07_10_10_49_440,NAN
sbs2data_2018_09_07_11_05_24_439,7
sbs2data_2018_09_07_11_11_54_442,7
sbs2data_2018_09_07_11_38_50_437,3
sbs2data_2018_09_07_12_12_42_Part2_437,NAN
sbs2data_2018_09_07_12_18_32_Part3_437,NAN
sbs2data_2018_09_07_12_23_22_435,9
sbs2data_2018_09_07_12_26_37_436,no_ID
sbs2data_2018_09_07_12_40_16_436,no_ID
sbs2data_2018_09_07_12_54_56_447,NAN
sbs2data_2018_09_07_13_34_05_448,NAN
sbs2data_2018_09_07_13_57_09_452,NAN
sbs2data_2018_09_07_14_39_23_234,8
sbs2data_2018_09_07_14_57_42_455,4
sbs2data_2018_09_07_15_14_37_451,NAN
sbs2data_2018_09_07_15_32_56_456,7.5*
sbs2data_2018_09_07_15_58_37_454,NAN
sbs2data_2018_09_07_16_28_52_Part2_459,1
sbs2data_2018_09_07_16_41_25_457,NAN
